B_fighter,R_fighter,date,location,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,R_current_lose_streak,R_current_win_streak,B_total_rounds_fought,R_total_rounds_fought,B_wins,R_wins,B_Height_cms,R_Height_cms,B_Reach_cms,R_Reach_cms,B_Weight_lbs,R_Weight_lbs,B_age,R_age,elevation (ft),b_hot_or_not,r_hot_or_not,Winner_Blue,Winner_Red,title_bout_False,title_bout_True,B_Stance_Open Stance,B_Stance_Orthodox,B_Stance_Southpaw,B_Stance_Switch,R_Stance_Open Stance,R_Stance_Orthodox,R_Stance_Southpaw,R_Stance_Switch,weight_buckets_Heavy,weight_buckets_Light,weight_buckets_Middle
Vitor Belfort,Randy Couture,1997-10-17,"Bay St. Louis, Mississippi, USA",Heavyweight,2,0.0,3.0,0.0,2.0,3.0,2.0,3.0,2.0,182.88,185.42,187.96,190.5,185.0,205.0,20.0,34.0,23,1,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0
Chuck Liddell,Jeremy Horn,1999-03-05,"Bay St. Louis, Mississippi, USA",Middleweight,2,0.0,1.0,2.0,0.0,1.0,3.0,1.0,0.0,187.96,185.42,193.04,187.96,205.0,185.0,29.0,23.0,23,1,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Wanderlei Silva,Vitor Belfort,1998-10-16,"Sao Paulo, Brazil",Middleweight,2,0.0,0.0,0.0,1.0,0.0,5.0,0.0,4.0,180.34,182.88,187.96,187.96,205.0,185.0,22.0,21.0,2493,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0
Ildemar Alcantara,Wagner Prado,2013-01-19,"Sao Paulo, Brazil",Light Heavyweight,3,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,187.96,182.88,198.12,187.96,185.0,205.0,30.0,26.0,2493,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0
Lucas Martins,Edson Barboza,2013-01-19,"Sao Paulo, Brazil",Lightweight,3,0.0,0.0,1.0,0.0,0.0,13.0,0.0,4.0,182.88,180.34,182.88,190.5,145.0,155.0,24.0,26.0,2493,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1
Nik Lentz,Diego Nunes,2013-01-19,"Sao Paulo, Brazil",Featherweight,3,0.0,1.0,0.0,1.0,26.0,15.0,6.0,3.0,172.72,167.64,172.72,170.18,155.0,145.0,28.0,30.0,2493,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0
Andrew Craig,Ronny Markes,2013-01-19,"Sao Paulo, Brazil",Middleweight,3,0.0,2.0,0.0,2.0,5.0,6.0,2.0,2.0,185.42,185.42,193.04,190.5,170.0,185.0,27.0,24.0,2493,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
Milton Vieira,Godofredo Pepey,2013-01-19,"Sao Paulo, Brazil",Featherweight,3,1.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,182.88,170.18,182.88,185.42,145.0,145.0,34.0,25.0,2493,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0
Khabib Nurmagomedov,Thiago Tavares,2013-01-19,"Sao Paulo, Brazil",Lightweight,3,0.0,2.0,0.0,2.0,6.0,30.0,2.0,7.0,177.8,170.18,177.8,172.72,155.0,145.0,24.0,28.0,2493,1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
Ben Rothwell,Gabriel Gonzaga,2013-01-19,"Sao Paulo, Brazil",Heavyweight,3,0.0,1.0,0.0,1.0,9.0,21.0,2.0,8.0,193.04,187.96,198.12,193.04,265.0,242.0,31.0,33.0,2493,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0
