location,Pollution
"Bay St. Louis, Mississippi, USA",Moderate
"Tokyo, Japan",Moderate
"Atlantic City, New Jersey, USA",Moderate
"East Rutherford, New Jersey, USA",Moderate
"Las Vegas, Nevada, USA",Moderate
"Uncasville, Connecticut, USA",Moderate
"Bossier City, Louisiana, USA",Moderate
"London, England, United Kingdom",Moderate
"Miami, Florida, USA",Moderate
"Anaheim, California, USA",Moderate
"Columbus, Ohio, USA",Moderate
"Houston, Texas, USA",Moderate
"Manchester, England, United Kingdom",Moderate
"Belfast, Northwern Ireland, United Kingdom",Moderate
"Cincinnati, Ohio, USA",Moderate
"Newark, New Jersey, USA",Moderate
"New Castle, England, United Kingdom",Moderate
"Broomfield, Colorado, USA",Moderate
"Montreal, Quebec, Canada",Moderate
"Minneapolis, Minnesota, USA",Moderate
"Atlanta, Georgia, USA",Moderate
"Omaha, Nebraska, USA",Moderate
"Birmingham, England, United Kingdom",Moderate
"Rosemont, Illinois, USA",Moderate
"Fayetteville, North Carolina, USA",Moderate
"Dublin, Leinster, Ireland",Moderate
"Tampa, Florida, USA",Moderate
"Nashville, Tennesse, USA",Moderate
"Cologne, North Rhine-Westphalia, Germany",Moderate
"Philadelphia, Pennsylvania, USA",Moderate
"Portland, Oregon, USA",Moderate
"Oklahoma City, Oklahoma, USA",Moderate
"Dallas, Texas, USA",Moderate
"Memphis, Tennessee, USA",Moderate
"Fairfax, Virginia, USA",Moderate
"Sydney, New South Wales, Australia",Moderate
"Charlotte, North Carolina, USA",Moderate
"Abu Dhabi, United Arab Emirates",Bad
"Vancouver, Britich Columbia, Canada",Moderate
"Oakland, California, USA",Bad
"Indianapolis, Inidana, USA",Moderate
"Oberhausen, North Rhine-Westphalia, Germany",Moderate
"Auburn Hills, Michigan, USA",Moderate
"Killeen, Texas, USA",Good
"Louisvilla, Kentucky, USA",Moderate
"Seattle, Washington, USA",Moderate
"Toronto, Ontario, Canada",Moderate
"Pittsburgh, Pennsylvania, USA",Moderate
"Milwaukee, Wisconsin, USA",Moderate
"Rio de Janeiro, Brazil",Bad
"New Orleans, Louisiana, USA",Moderate
"Denver, Colorado, USA",Moderate
"Washington, DC, USA",Moderate
"San Jose, California, USA",Moderate
"Chicago, Illinois, USA",Moderate
"Saitama, Japan",Bad
"Stockholm, Sweden",Moderate
"Sunrise, Florida, USA",Moderate
"Belo Horizonte, Minas Gerais, Brazil",Moderate
"Calgary, Alberta, Canada",Moderate
"Nottingham, England, United Kingdom",Moderate
"Macau, China",Bad
"Gold Coast, Queensland, Australia",Moderate
"Sao Paulo, Brazil",Bad
"Jaragua do Sul, Santa Catarina, Brazil",Moderate
"Fortaleza, Ceara, Brazil",Moderate
"Fort Campbell, Kentucky, USA",Moderate
"Goiania, Goias, Brazil",Bad
"Brisbane, Queensland, Australia",Moderate
"Duluth, Georgia, USA",Moderate
"Natal, Rio Grande do Norte, Brazil",Moderate
"Quebec City, Quebec, Canada",Moderate
"Orlando, Florida, USA",Moderate
"Baltimore, Maryland, USA",Moderate
"Berlin, Germany",Moderate
"Albuquerque, New Mexico, USA",Bad
"Auckland, New Zealand",Moderate
"San Antonio, Texas, USA",Moderate
"Bangor, Maine, USA",Moderate
"Tulsa, Oklahoma, USA",Moderate
"Ledyard, Connecticut, USA",Moderate
"Brasilia, Distrito Federal, Mexico",Bad
"Halifax, Nova Scotia, Canada",Moderate
"Uberlandia, Minas Gerais, Brazil",Moderate
"Mexico City, Distrito Federal, Mexico",Very Bad
"Pheonix, Arizona, USA",Bad
"Porto Alegre, Rio Grande do Sul, Brazil",Moderate
"Krakow, Poland",Moderate
"Adelaide, South Australia, Australia",Moderate
"Manila, Philippines",Moderate
"Glasgow, Scotland, United Kingdom",Moderate
"Saskatoon, Saskatchewan, Canada",Moderate
"Melbourne, Victoria, Australia",Moderate
"Monterrey, Nuevo Leon, Mexico",Bad
"Seoul, South Korea",Very Bad
"Zagreb, Croatia",Moderate
"Rotterdam, Zuid-Holland, Netherlands",Moderate
"Curitiba, Panana, Brazil",Moderate
"Ottawa, Ontario, Canada",Moderate
"Sioux Falls, South Dakota, USA",Moderate
"Salt Lake City, Utah, USA",Moderate
"Hamburg, Hamburg, Germany",Moderate
"Cleveland, Ohio, USA",Moderate
"Hidalgo, Texas, USA",Moderate
"New York City, New York, USA",Moderate
"Albany, New York, USA",Moderate
"Brooklyn, New York, USA",Moderate
"Buffalo, New York, USA",Moderate
"Kansas City, Missouri, USA",Moderate
"Kallang, Singapore",Bad
"Uniondale, New York, USA",Good
"Edmonton, Alberta, Canada",Moderate
"Saitama, Saitama Japan",Bad
"Gdansk, Poland",Moderate
"Norfolk, Virginia, USA",Moderate
"Shanghai, Hebei, China",Very Bad
"Detroit, Michigan, USA",Moderate
"Fresno, California, USA",Moderate
"St. Louis, Missouri, USA",Moderate
"Belem, Para, Brazil",Moderate
"Perth, Western Australia, Australia",Moderate
"Glendale, Arizona, USA",Very Bad
"Santiago, Chile",Very Bad
"Liverpool, England, United Kingdom",Moderate
"Utica, New York, USA",Moderate
"Boise, Idaho, USA",Moderate
"Lincoln, Nebraska, USA",Moderate
"Moscow, Moscow, Russia",Moderate
"Moncton, new Brunswick, Canada",Moderate
"Buenos Aires, Buenos Aires, Argentina",Moderate
"Beijing, China",Very Bad
"Prague, Czech Republic",Moderate
"Wichita, Kansas, USA",Moderate
"Saint Petersburg, Saint Petersburg, Russia",Moderate
"Rochester, New York, USA",Moderate
"Copenhagen, Denmark",Moderate
"Shenzhen, Guangdon, China",Very Bad
"Montevideo, Uruguay",Moderate
"Rio Rancho, New Mexico, USA",Bad
"Greenville, South Carolina, USA",Moderate
"Jacksonville, Florida, USA",Moderate
"Abu Dhabi, Abu Dhabi, United Arab Emirates",Bad
"Rio de Janeiro, Rio de Janeiro, Brazil",Bad
"Sao Paulo, Sao Paulo, Brazil",Bad
